id;item_name;item_description;ingredients;price
1;er sorghum hydrolyze;serene piercing;incidentally;25331.19
2;except tent;wheel aspirate finally;notwithstanding faint however;11438.54
3;wallaby;scope corrupt;undulate;10731.27
4;anenst;spot;pace;681.52
5;yum;list;inasmuch duh sans;31061.31
6;tackle internet mid;poach;polo;3590.38
7;phooey woeful marvelous;warmly which;sans suddenly although;26421.13
8;geez;barring erase;bucketful;25189.51
9;given;whoa;powerfully modernity properly;888.44
10;educated declaration rapid;zoom pastor;appear whoa promptly;10950.66
